Name,Definition,Area,FeatureTeam,TermType,Status,Namen,Definition de,Online Tool-Tip,Naam,Definitie nl,Column,Feature,Tech Docs,Active,Universal en-de
A/B Testing,The testing of two separate scenarios to two randomised groups. A/B testing is usually used in marketing to test variants of a hypothesis to monitor the recipient’s response.,PeopleStage,,,,,,,,,,,,No,No
AI,"Apteco PeopleStage can monitor the performance of communications and make adjustments accordingly to improve campaign performance. This integrated feature, offering automated content alternatives to continually ensure the best
response rates, can be seen as a form of “Artificial Intelligence”.",Orbit,,,,,,,,,,,,No,No
Analysis,,FastStats,,Taxonomy,To Do,,,,,,,,,No,No
Analysis,,,,Apteco,To Do,,,,,,,,,No,No
Analytics,"Analytics is the interrogation, identification and interpretation of meaningful patterns in data.",Apteco,,,,,,,,,,Social,,No,No
Archiving,The storing of data which is no longer required to be immediately available but would be beneficial to recall if needed.,,,,,,,,,,,,,No,No
Archiving Collections,The storing of Orbit Collections which are no longer required to be immediately available to you but would be beneficial to recall if needed.,Orbit,,,,,,,,,,,,No,No
Area,An Area is a group of related Campaigns. Areas can also be grouped into larger Areas.,PeopleStage,,,,Container,,,,,,,,No,No
Audience,"Audiences define who should be selected to enter or proceed through a Campaign and can be simple FastStats selections, Interaction Selections, or Journey Selections, but you can also template your own more complex Audiences. PeopleStage is configured to recognise queries created on a particular FastStats table as Audience Selections, for example, the People table in the Holidays training system.",PeopleStage,,Product,,,,,,,,,,No,Yes
Audience,"Driven by selection rules, an Orbit Audience allows you to create, check and then generate a list of records that represents a target audience which you can then export or share with others",Orbit,,,,,,,,,,,,No,Yes
Automation,,Apteco,,,To Do,,,,,,,,,No,No
Automation,Reduction of human intervention in processes,,,,,,,,,,,,,No,No
Bounces,Within the context of a response gathered from the Email Service Provider. Bounces occur when an email cannot reach an inbox due to the email address being invalid or the mailbox being at capacity.,Response,,,,,,,,,,,,No,No
Campaigns,,Orbit,,,To Do,,,,,,,,,No,No
Campaigns,"A Campaign is a series of linked Messages, interconnected
with Pools where people wait until they are selected by an
Audience for the next step.",PeopleStage,,,Done,Kampagne,,,,,,,,No,No
Channel,,PeopleStage,,Taxonomy,To Do,,,,,,,,,No,No
Channel,"The broadcast medium used within a campaign, for example; Email, SMS, FTP, DM and Social.",Apteco,,,,,,,,,,,,No,No
Channel,,Orbit,,,To Do,,,,,,,,,No,No
Clicks,Within the context of a response gathered from the Email Service Provider. Clicks occur when an individual recipient has opened the email and clicked on content within the email. Usually recorded as unique clicks.,Response,,,,,,,,,,,,No,No
Compositions,"The Compositions page is where an administrator can create new, or modify existing, Orbit Audience output templates.",Orbit,,,,,,,,,,,,No,No
Constraints,Parameters applied to a Campaign or Area to restrict the audience volume commencing or flowing through the Campaign.,"Apteco, PeopleStage",,,,,,,,,,,,No,No
Contact Strategy,Parameters applied to a Campaign or Area which restrict the number of communications a person can receive over a timeframe.,,,,,,,,,,,,,No,No
Content,,Orbit,,,To Do,,,,,,,,,No,No
Content,Part of the Message step where the user defines any campaign specific output fields required for dynamic content; these are above and beyond the required fields usually set up the Channel.,PeopleStage,,,,,,,,,,,,No,No
Creative,The physical communication an individual receives.,,,,,,,,,,,,,No,No
CRM,Customer Relationship Management system,,,,,,,,,,,,,No,No
CRM Integration,Customer Relationship Management system - Apteco FastStats integrates with http://salesforce.com and Microsoft Dynamics Customer Relationships Management (CRM) software.,,,Taxonomy,,,,,,,,,,No,No
Customisation,Creating a communication which references experiences and desires on an individual basis,PeopleStage,,Taxonomy,,,,,,,,,,No,No
Data Variables,The criteria by which you can interrogate and break down your data. [This could/should be the same as Variables really!],Orbit,,,,,,,,,,,,No,No
DataView,"DataViews are used to present a user-friendly name to one or more FastStats systems.
In a FastStats multisystem environment, DataViews are used to control which system/s you can access in Orbit depending on the domain of your email address. You then log in to that DataView with your username and password.",Orbit,,,,DataView,"DataViews werden genutzt um einen benutzerfreundlichen Namen für ein oder mehrere FastStats Systeme zu präsentieren. In einem FastStats Multisystem Umfeld werden DataViews verwendet um die Ihnen zugänglichen Systeme zu kontrollieren, je nachdem welche Domain Ihrer E-Mail Adresse zugehörig ist. Sie loggen sich anschließen in den DataView mit Ihren Login Daten ein.",Orbit,,,,,,No,Yes
DI,"Digital Integrator – The Apteco Marketing Suite integrates with digital marketing platforms to streamline your marketing processes and automate multi-channel campaigns using email, SMS and digital channels.",,,,,,,,,,,,,No,No
Digital Responses,The interaction of the individual to the communication sent via a digital channel,,,,,,,,,,,,,No,No
